Li,Na,Ca,Si,B,Al,O,m
0.0,0.0,0.0,0.33333333333333304,0.0,0.0,0.666666666666667,24.417612026503445
0.0,0.0,0.0,0.33333333333333304,0.0,0.0,0.666666666666667,18.221298618416355
0.0,0.0,0.0,0.0,0.4,0.0,0.6,38.65416359879811
0.0,0.022643367065281,0.0,0.255753152657251,0.069099191282877,0.007752891751073,0.640321173045165,24.65677050195413
0.0,0.022737049216213,0.0,0.255576696487811,0.06999323586250501,0.008234498792566,0.6410619117344389,27.415331855603288
0.0,0.021536387456701,0.0,0.25386546984246,0.07123572680351,0.008405939831055,0.64029332766773,25.835011101171393
0.0,0.021007500533761,0.0,0.2530087190577889,0.07073956295225099,0.010656869837052,0.640606333566084,25.784047531356936
0.0,0.067445694902531,0.006287311642932,0.236123494549332,0.0,0.06338117805502501,0.6170455668959289,22.523792587376338
0.0,0.067223161284725,0.00625257940941,0.236011021160371,0.0,0.063731873876592,0.617132714032188,22.526216376233744
0.0,0.073914149898874,0.006318261889751,0.23269617486022195,0.0,0.063563628420392,0.6137605149328671,24.508753308269768
0.0,0.084040717802183,9.0626225469178e-05,0.20236836931441,0.024046158366979,0.076669779408104,0.6055040415408249,24.725126941496647
0.0,0.085748029871205,9.08347739332091e-05,0.20316708653062,0.021921459694786,0.076725117276401,0.604959576588286,23.827977444240712
0.0,0.086961688995361,0.0,0.199019908905029,0.0,0.10899909973144503,0.6050193023681639,28.446720689916344
0.0,0.080625168165278,0.00638520868747,0.22942278820842,0.0,0.063280279276585,0.610375187155727,24.26216262922145
0.0,0.08202426777622099,9.08017690162597e-05,0.20294198209148295,0.024153277058956,0.076031360092228,0.606162410555469,22.833662611049984
0.0,0.082288205653528,0.0,0.198325799989916,0.0,0.11263609563915,0.606749898717406,29.906365682691828
0.0,0.094254320605172,0.0,0.201323412055118,0.0,0.101859311263407,0.602562956076303,26.92931048634385
0.0,0.098625362553555,0.0,0.20103248202905905,0.0,0.099585807847694,0.600756347569693,24.899302552322265
0.0,0.112089478663714,0.007298537863792,0.26519135094518503,0.0,0.002008771655347,0.6053767745486,36.60243736715756
