Li,Na,Ca,Si,B,Al,O,Tliquidus
0.0,0.0965019393197399,0.0,0.16180270444446052,0.05109260462153103,0.0965019393197399,0.5938166487685602,1063.15
0.0,0.0,0.02394478168290073,0.0,0.38084420612493297,0.0,0.5952110121921663,1242.15
0.0,0.0,0.14964650296827794,0.0,0.0,0.2802828052547722,0.5700706917769498,1877.15
0.0,0.02201472076139489,0.0017005750785255966,0.25261270891965115,0.06907426934976554,0.007729886883129019,0.6385813997061517,1345.15
0.0,0.12711649894714355,0.0,0.12706130027770995,0.0,0.17125650405883788,0.5745656967163086,1858.15
0.184834098815918,0.0,0.0,0.0,0.2890995025634765,0.0,0.5260663986206054,1182.15
0.0,0.0,0.027324080453482454,0.21650499332983728,0.04543779847720973,0.06692864891501006,0.6362396999974089,1474.15
0.0,0.0,0.0,0.0,0.3887530720627388,0.0,0.6018744764659794,813.15
0.0,0.0,0.0,0.19832399368286133,0.0,0.16201120376586914,0.6396648025512696,2084.15
0.0,0.0,0.03594266021089013,0.19886660082992266,0.05788405075683741,0.0711579816140333,0.6319362023869275,1323.15
0.0,0.1129732882525169,0.0,0.182554475540688,0.0,0.11315069073193634,0.5913215454748587,1537.15
0.0,0.08569396390451656,0.008537059554358356,0.23965204130096826,0.034018884197338985,0.01293494186151563,0.6103026761623624,1263.15
0.0,0.03533534632979575,0.0,0.08662235304979438,0.27485197998646,0.0,0.6031903206339501,944.15
0.0,0.0,0.1241034208445674,0.15969682116939846,0.06360806898232492,0.04547299558730064,0.6071186934164086,1423.15
0.0,0.0,0.03346431597912413,0.216504969327092,0.04543779343976515,0.06692864149499038,0.6362397439018371,1462.15
0.0,0.12102229321818443,0.06784366663948219,0.2275930835785385,0.0,0.0,0.5835409565637949,1408.15
0.0,0.0,0.01628761004059058,0.20152219165750107,0.07125088954080945,0.0662165383434682,0.6351278876817475,1315.15
0.19999999856948847,0.02220000012731552,0.0,0.22223329385113744,0.0,0.0,0.5555667074520585,1290.15
0.0,0.11030679150475828,0.03412615843618077,0.2554291788005525,0.0,0.0,0.6001378712585084,1267.15
0.10247300850414988,0.030881421298601292,0.0,0.2166455226625413,0.0,0.04882689333861633,0.5918516564744356,1359.15
0.0,0.13827718699380012,0.0,0.261562176115834,0.0,0.0,0.5962117722359821,1276.15
0.0,0.17046268968352607,0.01829536883547252,0.2359050747424958,0.0,0.0,0.5753368667385055,1074.15
0.0,0.4899999766349805,0.0,0.08833332594235775,0.0,0.0,0.4216666974226619,1230.15
0.0,0.10749840298761164,0.0,0.1638085062461993,0.02871612209842774,0.10807390731821724,0.5886804100345184,1358.15
0.03298070974184367,0.08836341082651053,0.007156191016683561,0.2016179125486653,0.0,0.07467330129716282,0.5905413937596021,1223.15
0.0,0.0,0.02540366863393576,0.20966369425440606,0.05997329176876535,0.062097849243265016,0.6354558883035086,1408.15
0.0,0.19545037893863154,0.0,0.13411598578079387,0.12179058588517158,0.0,0.5486430493954029,950.15
0.0,0.11215840714029716,0.030032771636149418,0.23661360576770415,0.0,0.01655349071442811,0.5978176316486522,1220.15
0.0,0.0,0.23056730270385745,0.1796217918395996,0.0,0.0,0.589810905456543,1733.15
0.0,0.08506944270597554,0.0,0.0,0.3489583057661832,0.0,0.5659722515278413,1087.15
0.0,0.0993471323899022,0.03630522315664962,0.2594563128494524,0.0,0.0,0.6048913316039958,1358.15
0.2666667035420743,0.0,0.0,0.20000000381469732,0.0,0.0,0.5333332926432284,1392.15
0.0,0.21340703151468005,0.010987161751371724,0.21930503115414812,0.0,0.0,0.5563007755798001,1135.15
0.12098830828846566,0.0,0.0,0.2565527090730831,0.0,0.01954376080136055,0.6029152218370907,1528.15
0.0,0.1265031954036848,0.03879339776161251,0.22780079871985065,0.01970242897286107,0.0,0.5872001791419911,1210.15
0.0,0.0,0.19309611137952773,0.18484141134284413,0.0,0.016825310663757212,0.596627030357129,1749.15
0.0,0.3661201928352393,0.0,0.0,0.18032789574294844,0.0,0.4535519114218122,913.15
0.0,0.0,0.04626335099922799,0.2394046951350718,0.0,0.07570364879890777,0.6386283050667924,1726.15
0.03472233867763786,0.0007402048700330264,0.07556818651024826,0.2076274977092301,0.0,0.0660801049687521,0.611964391312724,1439.849951171875
0.0,0.0,0.20532630528781312,0.0,0.0,0.23573899773141865,0.5589346969807683,1743.15
0.0,0.0,0.02520243889892755,0.20944410380273965,0.060473728342134825,0.062050771879689964,0.6354592912552159,1403.15
0.19906668572552902,0.01646666917260475,0.0,0.2255666805208517,0.0,0.0,0.5588999645810147,1278.15
0.0,0.0,0.1538461178999643,0.2307692197652952,0.0,0.0,0.6153846623347405,1723.15
0.0,0.14729539555154192,0.034972569192044445,0.2153893043076903,0.025177559312348285,0.0,0.5771651716363752,1165.15
0.0,0.0,0.20082042701916003,0.0,0.0,0.23934362786709096,0.5598359451137491,1688.15
0.0,0.0,0.3334518051147461,0.1110321044921875,0.0,0.0,0.5555160903930664,2429.15
0.0,0.005796535070386266,0.0,0.3112218123552494,0.02305588028961067,0.0,0.6599257722847536,1735.15
0.0,0.0,0.0376030172311141,0.20455297507827264,0.058267745414379485,0.061039466047274685,0.6323897355955758,1453.15
0.0,0.09497754753672807,0.035093052429434106,0.24426650782520465,0.02181916149319573,0.0,0.6038437307154374,1357.15
0.092454274843379,0.0,0.14329270909472308,0.19157770887671316,0.0,0.0,0.5726753071851848,1531.15
0.1333333053588859,0.08886666552162166,0.0,0.2222333017988196,0.0,0.0,0.5555667273206728,1157.15
0.0,0.0,0.058823528850779815,0.2287582037807293,0.0,0.07843136862212532,0.6339868987463655,1704.15
0.0,0.0,0.04489016248708468,0.2285896017899819,0.0,0.08978032497416936,0.636739910748764,1688.15
0.0,0.0,0.04615385325052459,0.19969231817937305,0.0,0.12307690385442402,0.6307692323897321,1782.15
0.0,0.06779961076832004,0.0,0.20369390390542075,0.0,0.11488759939724158,0.6136188859290176,1849.15
0.0,0.11253060059172794,0.0,0.27311139376719085,0.0,0.0,0.6084229889191594,1513.15
0.0,0.0973999995689392,0.0,0.2846332985808048,0.0,0.0,0.6179667018502559,1623.15
0.0,0.0,0.026053389664362044,0.2602122986009931,0.0,0.06111289781326264,0.6429720099446246,1618.15
0.0,0.08242692124676264,0.0,0.1930744964758408,0.02980004119536718,0.0831421197749717,0.60428521162747,1273.15
0.0,0.3080841636171901,0.0,0.10403908393375312,0.0903026182753178,0.0,0.497574134173739,1153.15
0.0,0.0,0.15971020101853164,0.08553769302824941,0.0,0.16655590429654502,0.5844078194590171,1690.15
0.0,0.08695651676343852,0.0,0.0,0.3478261052007253,0.0,0.5652173780358362,1089.15
0.0,0.0,0.05639867298519079,0.1578806836993584,0.0,0.16542429457837435,0.6202963487370764,1853.15
0.0,0.2945189206893509,0.0,0.09422826172745748,0.11021470490320986,0.0,0.5010381126799817,1130.15
0.0,0.0,0.14854519702391436,0.23430320516297146,0.0,0.0,0.6171515978131141,1720.15
0.0,0.0416666718324028,0.0,0.0,0.0,0.3750000178813943,0.5833333102862029,2293.15
0.0,0.0,0.028399601967104882,0.2121617009273344,0.057224433021520624,0.06250948168952289,0.6363940268816293,1313.15
0.04506173098933547,0.06117282820031239,0.008981481124902215,0.19824069823197774,0.06777777142458496,0.01975308999014486,0.5944444991780646,1327.15
0.0,0.2851729625257298,0.0,0.1338592846561331,0.0,0.06826510092436064,0.5127026518937764,1233.15
0.09850004122778742,0.0038774189064098978,0.07622189941836968,0.18254480225932004,0.0,0.057344989349357875,0.5800143007933027,1353.15
0.0,0.15172509134220466,0.023550368167375785,0.213404583989791,0.03403918754316032,0.0,0.5772807689574682,1053.15
